permutation_index,evidence_application_order,canonical_active_factor_signature,final_possible_joint_world_count,order_independent
39,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>shared_and_topology>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>timing_relation_set,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
40,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>shared_and_topology>cross_modal_definite_order_intersection>timing_relation_set>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
41,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
42,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>shared_and_topology>timing_relation_set>cross_modal_definite_order_intersection>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
43,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone>cross_modal_definite_order_intersection>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
44,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>optical_raw_definite_order_alone>shared_and_topology>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
45,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection>optical_raw_definite_order_alone>shared_and_topology,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
46,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>cross_modal_definite_order_intersection>shared_and_topology>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
47,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology>optical_raw_definite_order_alone>cross_modal_definite_order_intersection,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
48,lifecycle>corridor>p0_upper_temporal_structure>sar_family_pair_geometry_alone>timing_relation_set>shared_and_topology>cross_modal_definite_order_intersection>optical_raw_definite_order_alone,f3c95ce3258914bfa05105981257cb51b1e52e7afd4d825d15dfc86afb9767b5,3506018,True
