segment_id,run_id,condition,baseline_joint_world_count,possible_joint_world_count,excluded_joint_world_count,synergy_class
TERGS_A6E046163A60B75E621B,R02ZF,COMBINED_CROSS_MODAL_ORDER,323,300,23,CROSS_MODAL_ORDER_SYNERGY
TERGS_D9A02C06CA67BAF86AAE,R02ZF,OPTICAL_ORDER_ALONE,48,48,0,NO_EXCLUSION
TERGS_D9A02C06CA67BAF86AAE,R02ZF,SAR_PAIR_GEOMETRY_ALONE,48,48,0,NO_EXCLUSION
TERGS_D9A02C06CA67BAF86AAE,R02ZF,COMBINED_CROSS_MODAL_ORDER,48,48,0,NO_EXCLUSION
TERGS_190792243168018C6692,R02ZF,OPTICAL_ORDER_ALONE,40,40,0,NO_EXCLUSION
TERGS_190792243168018C6692,R02ZF,SAR_PAIR_GEOMETRY_ALONE,40,40,0,NO_EXCLUSION
TERGS_190792243168018C6692,R02ZF,COMBINED_CROSS_MODAL_ORDER,40,40,0,NO_EXCLUSION
TERGS_6436F78EE3B62E359C28,R02ZF,OPTICAL_ORDER_ALONE,1920,1920,0,NO_EXCLUSION
TERGS_6436F78EE3B62E359C28,R02ZF,SAR_PAIR_GEOMETRY_ALONE,1920,1920,0,NO_EXCLUSION
TERGS_6436F78EE3B62E359C28,R02ZF,COMBINED_CROSS_MODAL_ORDER,1920,1825,95,CROSS_MODAL_ORDER_SYNERGY
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,OPTICAL_ORDER_ALONE,19040,19040,0,NO_EXCLUSION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,SAR_PAIR_GEOMETRY_ALONE,19040,19040,0,NO_EXCLUSION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,COMBINED_CROSS_MODAL_ORDER,19040,17044,1996,CROSS_MODAL_ORDER_SYNERGY
TERGS_E7F91D8684FAAF6A9219,R02ZF,OPTICAL_ORDER_ALONE,1386,1386,0,NO_EXCLUSION
TERGS_E7F91D8684FAAF6A9219,R02ZF,SAR_PAIR_GEOMETRY_ALONE,1386,1386,0,NO_EXCLUSION
TERGS_E7F91D8684FAAF6A9219,R02ZF,COMBINED_CROSS_MODAL_ORDER,1386,1195,191,CROSS_MODAL_ORDER_SYNERGY
TERGS_60EB5053F2693E18D58B,R02ZF,OPTICAL_ORDER_ALONE,124032,124032,0,NO_EXCLUSION
TERGS_60EB5053F2693E18D58B,R02ZF,SAR_PAIR_GEOMETRY_ALONE,124032,124032,0,NO_EXCLUSION
TERGS_60EB5053F2693E18D58B,R02ZF,COMBINED_CROSS_MODAL_ORDER,124032,103368,20664,CROSS_MODAL_ORDER_SYNERGY
TERGS_409886F81D9E45334F4F,R02ZF,OPTICAL_ORDER_ALONE,31,31,0,NO_EXCLUSION
TERGS_409886F81D9E45334F4F,R02ZF,SAR_PAIR_GEOMETRY_ALONE,31,31,0,NO_EXCLUSION
TERGS_409886F81D9E45334F4F,R02ZF,COMBINED_CROSS_MODAL_ORDER,31,31,0,NO_EXCLUSION
TERGS_6C426359C612628C7A31,R02ZF,OPTICAL_ORDER_ALONE,992,992,0,NO_EXCLUSION
TERGS_6C426359C612628C7A31,R02ZF,SAR_PAIR_GEOMETRY_ALONE,992,992,0,NO_EXCLUSION
TERGS_6C426359C612628C7A31,R02ZF,COMBINED_CROSS_MODAL_ORDER,992,965,27,CROSS_MODAL_ORDER_SYNERGY
TERGS_38238A43231066968F66,R02ZF,OPTICAL_ORDER_ALONE,837,837,0,NO_EXCLUSION
TERGS_38238A43231066968F66,R02ZF,SAR_PAIR_GEOMETRY_ALONE,837,837,0,NO_EXCLUSION
TERGS_38238A43231066968F66,R02ZF,COMBINED_CROSS_MODAL_ORDER,837,827,10,CROSS_MODAL_ORDER_SYNERGY
TERGS_406E06BEE8B19831E091,R02ZF,OPTICAL_ORDER_ALONE,801504,801504,0,NO_EXCLUSION
TERGS_406E06BEE8B19831E091,R02ZF,SAR_PAIR_GEOMETRY_ALONE,801504,801504,0,NO_EXCLUSION
TERGS_406E06BEE8B19831E091,R02ZF,COMBINED_CROSS_MODAL_ORDER,801504,586218,215286,CROSS_MODAL_ORDER_SYNERGY
TERGS_4B565EEA0C6931299151,R02ZF,OPTICAL_ORDER_ALONE,11,11,0,NO_EXCLUSION
TERGS_4B565EEA0C6931299151,R02ZF,SAR_PAIR_GEOMETRY_ALONE,11,11,0,NO_EXCLUSION
TERGS_4B565EEA0C6931299151,R02ZF,COMBINED_CROSS_MODAL_ORDER,11,11,0,NO_EXCLUSION
TERGS_8D6DB9A2F108568B32AA,R02ZF,OPTICAL_ORDER_ALONE,264,264,0,NO_EXCLUSION
TERGS_8D6DB9A2F108568B32AA,R02ZF,SAR_PAIR_GEOMETRY_ALONE,264,264,0,NO_EXCLUSION
TERGS_8D6DB9A2F108568B32AA,R02ZF,COMBINED_CROSS_MODAL_ORDER,264,263,1,CROSS_MODAL_ORDER_SYNERGY
TERGS_A923293CFBC550AE18D7,R02ZF,OPTICAL_ORDER_ALONE,242,242,0,NO_EXCLUSION
TERGS_A923293CFBC550AE18D7,R02ZF,SAR_PAIR_GEOMETRY_ALONE,242,242,0,NO_EXCLUSION
TERGS_A923293CFBC550AE18D7,R02ZF,COMBINED_CROSS_MODAL_ORDER,242,242,0,NO_EXCLUSION
TERGS_F66D1A1E88076E254C22,R02ZF,OPTICAL_ORDER_ALONE,231,231,0,NO_EXCLUSION
TERGS_F66D1A1E88076E254C22,R02ZF,SAR_PAIR_GEOMETRY_ALONE,231,231,0,NO_EXCLUSION
TERGS_F66D1A1E88076E254C22,R02ZF,COMBINED_CROSS_MODAL_ORDER,231,214,17,CROSS_MODAL_ORDER_SYNERGY
TERGS_48FABD798C7CE3742190,R02ZF,OPTICAL_ORDER_ALONE,487872,487872,0,NO_EXCLUSION
TERGS_48FABD798C7CE3742190,R02ZF,SAR_PAIR_GEOMETRY_ALONE,487872,487872,0,NO_EXCLUSION
TERGS_48FABD798C7CE3742190,R02ZF,COMBINED_CROSS_MODAL_ORDER,487872,349452,138420,CROSS_MODAL_ORDER_SYNERGY
TERGS_1BB7B9183580C17A201F,R02ZF,OPTICAL_ORDER_ALONE,52326,52326,0,NO_EXCLUSION
TERGS_1BB7B9183580C17A201F,R02ZF,SAR_PAIR_GEOMETRY_ALONE,52326,52326,0,NO_EXCLUSION
TERGS_1BB7B9183580C17A201F,R02ZF,COMBINED_CROSS_MODAL_ORDER,52326,33226,19100,CROSS_MODAL_ORDER_SYNERGY
TERGS_CAAB4EA22C44536DF2CC,R02ZF,OPTICAL_ORDER_ALONE,52326,52326,0,NO_EXCLUSION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,SAR_PAIR_GEOMETRY_ALONE,52326,52326,0,NO_EXCLUSION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,COMBINED_CROSS_MODAL_ORDER,52326,33226,19100,CROSS_MODAL_ORDER_SYNERGY
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,OPTICAL_ORDER_ALONE,62,62,0,NO_EXCLUSION
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,SAR_PAIR_GEOMETRY_ALONE,62,62,0,NO_EXCLUSION
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,COMBINED_CROSS_MODAL_ORDER,62,62,0,NO_EXCLUSION
TERGS_6EA858FDC375FA946246,R03ZF,OPTICAL_ORDER_ALONE,62,62,0,NO_EXCLUSION
TERGS_6EA858FDC375FA946246,R03ZF,SAR_PAIR_GEOMETRY_ALONE,62,62,0,NO_EXCLUSION
TERGS_6EA858FDC375FA946246,R03ZF,COMBINED_CROSS_MODAL_ORDER,62,62,0,NO_EXCLUSION
