order_profile_id,segment_id,run_id,track_a,track_b,segment_frame_count,paired_raw_interval_frame_count,raw_relation_set,whole_segment_optical_order,whole_segment_definite_order,overlap_or_uncertain_frame_set,unavailable_frame_set,nominal_frame_equality_used_as_hard_timing_authority,manual_reference_used
TERGOP_AC9A48B9A7E1E597943C,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,8,7,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,480,False,False
TERGOP_FC72507364123FBBF947,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,8,2,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,480;481;482;483;484;485,False,False
TERGOP_82A10650D3B8E3892C57,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,8,2,{OPTICAL_OVERLAP_OR_UNCERTAIN},NO_WHOLE_SEGMENT_DEFINITE_ORDER,False,486;487,480;481;482;483;484;485,False,False
TERGOP_7EAEA1F706B74D0CEA0E,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,5,5,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_722FF98E6AE0A93EBAC5,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_502E22A20AD671392149,TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,5,5,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_2DAB70CC63B33B860E98,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,8,8,{A_LEFT_OF_B},A_LEFT_OF_B,True,,,False,False
TERGOP_DCF984A8A07A8435C1B5,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,8,8,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,,False,False
TERGOP_254F224FC00AFA005ECA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,8,3,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,481;482;483;484;485,False,False
TERGOP_5D4FBCF5EFEBCB9F38FA,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,8,1,{A_RIGHT_OF_B},A_RIGHT_OF_B,True,,481;482;483;484;485;486;487,False,False
