segment_id,run_id,track_id,family_id,physical_observable_membership_signature_sha256,r0_constraint_signature_sha256,full_observational_signature_sha256,true_observational_equivalence_class_size,true_observational_equivalence_merge_allowed,r0_compatibility_status_alone_used_to_merge
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_F198B87842ABDFE770F5,230af53b39ce954e07f7cf4f2283c3526b22bf9e3b053ce6cfbef5237a0c235d,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,d3028ba585de4f8aa2bc5c4fbb21d8a3b881bd9288b751862c2480c694705f82,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_D0122708730080C5A5E6,c78eb7decfa97366c2f3a76c70083aa9b45bcf709815296e7b0bb4324e1e84d6,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,daf64d4e18ab96c361f3638aa0debf0a2edbc5be70f48e71e5d97636b1d142cd,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_F257AE9BE3A8919969EF,f7e0f94479c229a12368ab4834b0270d7d942bc117f95a5f0bf8e56d5109d16a,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,1c2697c72a13ff4ea7a65f5e7ba3a96d932600b8e30dea93e723d9bc42787f0a,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_EDF1F19AAEC938586864,90b2a4c27d738f1ec357b8c7e610fba7da05c6aabb5fa03986c4205ece911891,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,d221fe94e156544f46fa06c406f9d33cc3fa07028f9f771c7896ede8d43a3b69,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_6466C01A33A0F833C602,3519ca41dfcf8e963641b3beb0e995707668705c7373331ccc828296c39845d3,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,eba013adaf8f356c1314c60b2bc1853c97e48e4d5f9e63e77c7bd1dfb4665562,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_6BC3D38A1CA8727DE198,33f397e4947450974a46d9d7703d21c265333f38a806541f78604c072242846f,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,372e618aead93f6b21d24dd29cbe711bf995c6abb3d6b3e8eceb5564f4b8f8a1,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_7CB5AE6D6370AA00E4E9,fe21c0b68e4a1a490087abd0fbdb7de6bb70ea53b027435abbc4d3482be8f094,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,ba7fd3c3953bebcb8b61406a365364e38e0ea9fe7cb2dbdc1f82fadeaddbfcd8,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_32707CDD0850BBDA8ADD,3849bf7c7b1e41f4052c782c71dc33ab976a48c0be3577c9b828585dc0196085,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,63b6fceaf7cf0a5cc3c6f3a5852dd5d78fe9153cc621c88ebd4e5d241ed68c9d,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_E01EF31EF265E01D7C85,7cdebc695121e905824ac3a6d5bb4d7c28a1c15c79647dc709310e0df38bd7e4,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,da7d68430e29ee55c07eaf8e42d1e69dcc075f55c49f4a345f0ed526789ab1f5,1,False,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_134E751CB1F721E66CBF,7802777df2469cf519632e5fb2516652d1e4cbef1f2faeea9cfe72ca8fe564c3,825579684785d455f8ccddbc598223cf51598ad52c8c063b4b985674373becdd,a4a75ba5a919d4f73550ea5b9a2413c646725c58bf1e403996b2f20ef731d53f,1,False,False
