segment_id,run_id,track_id,family_id,N_static_physical_region_incidence,N_temporal_family_for_track,baseline_joint_worlds_containing_family,possible_joint_worlds_containing_family,excluded_joint_worlds_containing_family,family_world_retention_fraction,family_status,manual_reference_used,N_possible_family_for_track,N_necessary_family_for_track,N_excluded_family_for_track
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_F198B87842ABDFE770F5,217,46,47,47,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,46,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_F257AE9BE3A8919969EF,217,46,47,47,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,46,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,TERGV1F_FF214C025D91308C1820,217,46,47,47,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,46,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_02218556E25A4DD134A9,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_031C8FDECD1C573F0A20,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_062F70DE0C8F769ABC53,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_0DCAD6ECE49D32F17636,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_1454FFC375F19675357C,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_1AFDFE71BE358AE4E03E,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_1D6D7060414DF96962B5,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_22770BAEF8A222256FED,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_42014FDC873A3C11B7AC,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_44587EBB4AE61C6816B2,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_49E74D789494A0C39AEF,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_55026F3CB0C50627BDF8,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_55DAD554FEB5F7E29BBD,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_5790B34534C260F5B6E1,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_57B1A3167DAF5E1BE105,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_638730FB5ED6D3BE1960,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_6EB88F052A6DE7744AE6,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_708525E233477AC3141E,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_7456B9759BA24941C44C,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_88C770ADAA60B2840BA6,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_89D2384C23CF350C6204,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_8CB6F60EAAAE4E78B534,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_8D369C67E753C4168E6D,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_903F4E94E6AD1DCA2523,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_917325C3BEE2EF47E17E,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_94FDD616381802350BE9,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGV1F_95701DF290918F09212E,237,47,46,46,0,1.0,UNCONDITIONALLY_ADMISSIBLE_WITH_RESPECT_TO_R0,False,47,0,0
