window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,concordant_count,contradictory_count,weak_count,structural_indeterminate_count,unavailable_count,possible_rescue_candidate_gt_blind,manual_reference_used,rescue_established
CMRW_69A3AEE9F54CFEC37C45,R01ZF,42,43,3,498,0,0,0,498,0,False,False,False
CMRW_6C8C4AAD788FD1D28676,R02ZF,484,485,3,190,0,0,127,63,0,False,False,False
CMRW_6D9D20EF6EA953F25213,R02ZF,490,491,4,365,0,0,300,65,0,False,False,False
CMRW_6FDEB99C705799EDD0A7,R01ZF,12,13,2,710,339,235,4,132,0,True,False,False
CMRW_71D8BF6BB096421259B2,R01ZF,55,56,3,398,70,83,70,175,0,True,False,False
CMRW_728430301A103CD4598F,R01ZF,110,111,1,130,54,35,0,41,0,True,False,False
CMRW_742EA86A92D340034BAE,R03ZF,470,471,1,6,0,0,5,1,0,False,False,False
CMRW_77EBC90E846605D232E8,R01ZF,90,91,2,240,103,68,1,68,0,True,False,False
CMRW_78DF71BD9415C6252A2F,R01ZF,72,73,3,485,58,31,286,110,0,True,False,False
CMRW_7AFD7194E7D79F52D0BF,R03ZF,465,466,1,3,0,0,2,1,0,False,False,False
CMRW_7D2EF5A767230D82114A,R03ZF,467,468,1,20,0,0,19,1,0,False,False,False
CMRW_7DF95AC7A9EEE85DAF86,R01ZF,25,26,3,597,37,35,354,171,0,True,False,False
CMRW_8286C33250C443C032F4,R01ZF,14,15,2,776,347,303,5,121,0,True,False,False
CMRW_83CECA4B3DC6BF710A14,R01ZF,115,116,1,80,36,34,0,10,0,True,False,False
CMRW_8872BBB99B9277C8B352,R01ZF,22,23,3,597,0,0,195,402,0,False,False,False
CMRW_897CEAABDE4CC4CA73BA,R01ZF,62,63,3,572,164,124,1,283,0,True,False,False
CMRW_8D34CA21F97333558F0E,R03ZF,480,481,1,30,0,0,28,2,0,False,False,False
CMRW_91E28E07960D9E65A7CE,R03ZF,479,480,1,24,0,0,20,4,0,False,False,False
CMRW_9357D850EA9E868F04BE,R03ZF,477,478,1,42,0,0,35,7,0,False,False,False
CMRW_94C6FEA48C6DE016D912,R03ZF,484,485,1,16,0,0,15,1,0,False,False,False
CMRW_957454ADF3029E372DF9,R01ZF,4,5,2,253,135,70,0,48,0,True,False,False
CMRW_96CBB8CD3B96A226E44E,R03ZF,462,463,1,9,0,0,7,2,0,False,False,False
CMRW_9A56134621D1F9B0EC63,R01ZF,95,96,1,182,59,73,0,50,0,True,False,False
CMRW_A248F69205CC4F14BC51,R01ZF,50,51,3,500,115,102,86,197,0,True,False,False
CMRW_A6853A0041ABBE66425C,R01ZF,29,30,3,551,0,0,410,141,0,False,False,False
CMRW_AAA186635F864D877AA0,R01ZF,7,8,2,298,142,87,4,65,0,True,False,False
CMRW_ADFEF29ACD5C67302FF4,R01ZF,54,55,3,478,96,69,119,194,0,True,False,False
CMRW_AED859B84ACD1CA1BA71,R01ZF,27,28,3,576,0,0,411,165,0,False,False,False
CMRW_B040F931A35CF15867F6,R01ZF,47,48,3,606,0,0,405,201,0,False,False,False
CMRW_B13ACEA9D318D36B5427,R03ZF,489,490,1,42,0,0,34,8,0,False,False,False
CMRW_B451D46F65003C2BD691,R01ZF,119,120,1,64,0,0,0,64,0,False,False,False
CMRW_B60470708196AD1F0D90,R01ZF,35,36,3,530,112,151,3,264,0,True,False,False
CMRW_BBF4225D6A02C3A78CFD,R03ZF,472,473,1,16,0,0,13,3,0,False,False,False
CMRW_BCE40938A41052E153A6,R03ZF,464,465,1,9,0,0,8,1,0,False,False,False
CMRW_BDF425C7E92FEE2843DF,R01ZF,64,65,3,538,0,0,0,0,0,False,False,False
CMRW_BEF9BB5B63A87A3BCA7E,R01ZF,69,70,3,470,183,172,0,115,0,True,False,False
CMRW_BFC7108B2E909A3682A3,R01ZF,37,38,3,517,228,155,3,131,0,True,False,False
CMRW_C57ECD71BB3BFE8B4E06,R01ZF,24,25,3,686,0,0,479,207,0,False,False,False
CMRW_D04894C827C7C3B70015,R02ZF,487,488,4,263,29,20,159,55,0,True,False,False
CMRW_D1976479022C0F22BE06,R01ZF,117,118,1,100,0,0,0,100,0,False,False,False
CMRW_D8FA31F96BF72279CB3B,R01ZF,87,88,3,251,89,93,1,68,0,True,False,False
CMRW_D9DE190BE11DEC5BDC24,R01ZF,120,121,1,48,0,0,0,48,0,False,False,False
CMRW_DC3459731B5565491CFA,R02ZF,482,483,3,159,0,0,104,55,0,False,False,False
CMRW_DCBBB0BD3C2C6DEC73F2,R01ZF,107,108,1,156,65,68,0,23,0,True,False,False
CMRW_DCE6A9276F5F941EB040,R01ZF,74,75,3,351,57,38,101,155,0,True,False,False
