order_profile_id,segment_id,run_id,track_a,track_b,old_relative_order_compatibility,possible_relation_set,relation_set_classification,family_a_count,family_b_count,family_pair_space_size,family_pairs_with_common_frames,left_frame_set,right_frame_set,overlap_frame_set,shared_frame_set,definite_order_frame_set,competing_direction_frame_set,unavailable_frame_set,left_family_pair_support_count,right_family_pair_support_count,overlap_family_pair_support_count,shared_family_pair_support_count,old_shared_information_loss_repaired,best_family_pair_selected,weighted_vote_used,manual_reference_used
TERGOP_4129E34EE8EEB87DDE6B,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,33,26,858,510,,36;37;38;39;40;41;42;43,36;37;38;39;40;41;42;43,37;38;39;40;41;42;43,,,,0,479,42,2,True,False,False,False
TERGOP_CBCFAD6F5BE990615771,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,SHARED_RESPONSE_ORDER_UNDEFINED,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,24,26,624,405,,36;37;38;39;40;41;42;43,36;37;38;39;40;41;42;43,37;38;39;40;41;42;43,,,,0,385,28,1,True,False,False,False
TERGOP_EB6CCAB0DAAA1E055CD1,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,26,24,624,434,63;64;65;66;67;68;69;70,63;64;65;66;67;68;69;70,63;64;65;66;67;68;69;70,63;64;65;66;67;68;69;70,,63;64;65;66;67;68;69;70,,154,110,175,24,True,False,False,False
TERGOP_7B1DFFF1BD03840B97B5,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,ORDER_SUPPORTIVE,{RIGHT},SINGLE_RELATION,26,23,598,399,,63;64;65;66;67;68;69;70,,,63;64;65;66;67;68;69;70,,,0,399,0,0,False,False,False,False
TERGOP_E34BD258DD9BFD085526,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,ORDER_SUPPORTIVE,{RIGHT},SINGLE_RELATION,24,23,552,391,,63;64;65;66;67;68;69;70,,,63;64;65;66;67;68;69;70,,,0,391,0,0,False,False,False,False
TERGOP_9038682A68020427B4C7,TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,10,10,100,75,472;473;474;475;476,472;473;474;475;476,472;473;474;475;476,472;473;474;475;476,,472;473;474;475;476,,30,9,28,8,True,False,False,False
TERGOP_5DC518443F94454B8E13,TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,10,11,110,79,472;473;474;475;476;477,472;473;474;475;476;477,472;473;474;475;476;477,472;473;474;475;476;477,,472;473;474;475;476;477,,35,9,28,8,True,False,False,False
TERGOP_B7089067C25D468826C9,TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,19,17,323,151,472;473;474;475;476;477;478;479;480,472;473;474;475;476;477;478;479;480,472;473;474;475;476;477;478;479;480,472;473;474;475;476;477;478;479;480,,472;473;474;475;476;477;478;479;480,,66,23,50,15,True,False,False,False
TERGOP_16D7746183432655D65A,TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,48,40,1920,510,472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494,472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494,472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494,472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494,,472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494,,211,102,185,39,True,False,False,False
TERGOP_14D185AC4AAF28B8675F,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,20,17,340,208,480;481;482;483;484;485;486;487,480;481;482;483;484;485;486;487,480;481;482;483;484;485;486;487,480;481;482;483;484;485;486;487,,480;481;482;483;484;485;486;487,,100,37,71,15,True,False,False,False
