primary_hypothesis_id,control_hypothesis_id,control_family,match_tier,static_distance,direction_used_for_selection,reference_used_for_selection
H_DC8444A68DC3DDEED1F8,H_707E06E13AD522EB4FDF,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_932709F0A52478E076A6,H_A924871F039E059ED625,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,1.260288500020173,False,False
H_A924871F039E059ED625,H_932709F0A52478E076A6,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,1.260288500020173,False,False
H_3E685CFB44B264D38161,H_E6BCED486A2251E27EEC,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.8689445466645255,False,False
H_E6BCED486A2251E27EEC,H_E71AC07817F1D757A8D9,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_E71AC07817F1D757A8D9,H_E6BCED486A2251E27EEC,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_03C9E97ED1E979F6E2E3,H_6EC1050184EAD1D4BC79,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_6EC1050184EAD1D4BC79,H_03C9E97ED1E979F6E2E3,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_0C8CD701E48D7BAF4DC6,H_87B047609E862D33B3A1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_87B047609E862D33B3A1,H_0C8CD701E48D7BAF4DC6,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_8BE79C73A2A64299F8B6,H_B15D98CC501CF5105DD6,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_B15D98CC501CF5105DD6,H_8BE79C73A2A64299F8B6,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_22AEC81B3E78F10B7055,H_D9E4C81219D637247F77,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_D9E4C81219D637247F77,H_22AEC81B3E78F10B7055,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.19417572210289863,False,False
H_436233FF426DADC9E8D5,H_705E7A3BAA9491DF1572,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_705E7A3BAA9491DF1572,H_436233FF426DADC9E8D5,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_29D0F159F602CDB1A0C6,H_FFFE78A20AC4D6462073,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_FFFE78A20AC4D6462073,H_29D0F159F602CDB1A0C6,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_028AD2DC863DB8C364FA,H_E7FC61500B76D78778AD,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_E7FC61500B76D78778AD,H_028AD2DC863DB8C364FA,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_33E7E6FBC47B560DC4C9,H_34EE00DA04EFA2690826,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_34EE00DA04EFA2690826,H_33E7E6FBC47B560DC4C9,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_5CD61D381B4B81140734,H_5E69A17FA8CEE74F3910,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_5E69A17FA8CEE74F3910,H_5CD61D381B4B81140734,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_91EE1A2BAC775BEE3432,H_F145A2A67CE267CC001C,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_F145A2A67CE267CC001C,H_91EE1A2BAC775BEE3432,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_04F45174C46F2F38B491,H_9BAC548969B9834C482E,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_9BAC548969B9834C482E,H_04F45174C46F2F38B491,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.21083034363830147,False,False
H_379D697662009A76F89F,H_CDF93C772013C1AB5F6D,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_CDF93C772013C1AB5F6D,H_379D697662009A76F89F,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_AC1E6BC3B2DC166F5C7E,H_CAC1D44E5F1C360EFDB3,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_CAC1D44E5F1C360EFDB3,H_AC1E6BC3B2DC166F5C7E,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_42D59E8D7491A0D732BE,H_726AD8C2D814054B6D8E,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_726AD8C2D814054B6D8E,H_42D59E8D7491A0D732BE,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_0CBB2675F10E8EBDED3D,H_3AE18AA7AC9AD1631F37,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_2E906B115D3E173325AE,H_79CE6E654FBDB360333A,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_3AE18AA7AC9AD1631F37,H_0CBB2675F10E8EBDED3D,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_79CE6E654FBDB360333A,H_2E906B115D3E173325AE,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_0BB04F349966ED183F5B,H_DE3BAA71DFCADBB901E2,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_DE3BAA71DFCADBB901E2,H_0BB04F349966ED183F5B,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.9032647352138397,False,False
H_9E762BC44A40769C476E,H_C2C32546840FA0F5939F,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_C2C32546840FA0F5939F,H_9E762BC44A40769C476E,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.0830555304200753,False,False
H_1CB75FC0C1B2C302AD04,H_A63395654461929F3430,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7926657510510797,False,False
H_A63395654461929F3430,H_1CB75FC0C1B2C302AD04,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.7926657510510797,False,False
H_C00409AE0DDAE5C0BF90,H_F0A954B1C9AB1A70E120,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.8280326631274535,False,False
H_F0A954B1C9AB1A70E120,H_C00409AE0DDAE5C0BF90,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.8280326631274535,False,False
H_0E4D79BA9D3232C7D3BE,H_5FC7AEF874263BD3B7D1,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.6701576698875191,False,False
H_5FC7AEF874263BD3B7D1,H_0E4D79BA9D3232C7D3BE,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.6701576698875191,False,False
H_057D1C65A033B0B111FD,H_FD05A73B4F0E2D3FFEAE,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.998605471213059,False,False
H_FD05A73B4F0E2D3FFEAE,H_057D1C65A033B0B111FD,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.998605471213059,False,False
H_2F79384FBE0F60D5C72B,H_9B8F24E14DFC3CF72802,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.13075740764997779,False,False
H_9B8F24E14DFC3CF72802,H_2F79384FBE0F60D5C72B,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.13075740764997779,False,False
H_967F1CFDF481D47EE55F,H_C98D11A2A4F52A04E15C,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.5006750151974202,False,False
H_C98D11A2A4F52A04E15C,H_967F1CFDF481D47EE55F,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.5006750151974202,False,False
H_BFA8ED53A2A72E88535C,H_DD35E15307A378F4410D,STATIC_SHELL_MATCHED_COMPOSITE_NULL,EXACT_STATIC_BIN_MATCH,0.45920520897551775,False,False
