timing_condition,pair_index,source_track_id,source_optical_frame_index,destination_optical_frame_index,d_left_o_deg_v2,d_right_o_deg_v2,d_mid_o_deg_v2,d_width_o_deg_v2,optical_dynamic_state_v2,bank_row_multiplicity
SAR_SHIFT_MINUS_1,19,R02ZF_REUSED_R02ZF_PERSON018,294.0,295.0,0.912883478317692,0.8354556189580222,0.8741695486378571,-0.07742785935966978,OPTICAL_COHERENT_POSITIVE_SHIFT,120
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,0,R02ZF_REUSED_R02ZF_PERSON017,284.0,285.0,0.928387278467433,0.9171573581398249,0.9227723183036289,-0.011229920327608056,OPTICAL_COHERENT_POSITIVE_SHIFT,56
SAR_SHIFT_PLUS_1,9,R02ZF_REUSED_R02ZF_PERSON021,289.0,290.0,0.4173086328699185,2.2271023374897254,1.322205485179822,1.809793704619807,OPTICAL_COHERENT_POSITIVE_SHIFT,9
SAR_SHIFT_MINUS_1,18,R02ZF_REUSED_R02ZF_PERSON018,293.0,294.0,0.9156698005781898,0.8534658071218004,0.8845678038499933,-0.062203993456389384,OPTICAL_COHERENT_POSITIVE_SHIFT,110
NOMINAL,7,R02ZF_REUSED_R02ZF_PERSON017,287.0,288.0,0.7128639495969011,0.7007144778218475,0.7067892137093743,-0.012149471775053655,OPTICAL_COHERENT_POSITIVE_SHIFT,42
SAR_SHIFT_MINUS_1,9,R02ZF_REUSED_R02ZF_PERSON018,288.0,289.0,0.7995426592646915,0.8004557006114013,0.7999991799380464,0.0009130413467097753,OPTICAL_COHERENT_POSITIVE_SHIFT,54
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,17,R02ZF_REUSED_R02ZF_PERSON024,294.0,295.0,1.418826177326288,2.081573148979963,1.7501996631531291,0.6627469716536751,OPTICAL_COHERENT_POSITIVE_SHIFT,18
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,17,R02ZF_REUSED_R02ZF_PERSON017,292.0,293.0,0.8922057771952581,0.8858047226104944,0.8890052499028744,-0.006401054584763699,OPTICAL_COHERENT_POSITIVE_SHIFT,96
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,8,R02ZF_REUSED_R02ZF_PERSON021,289.0,290.0,0.4173086328699185,2.2271023374897254,1.322205485179822,1.809793704619807,OPTICAL_COHERENT_POSITIVE_SHIFT,12
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,20,R02ZF_REUSED_R02ZF_PERSON018,294.0,295.0,0.912883478317692,0.8354556189580222,0.8741695486378571,-0.07742785935966978,OPTICAL_COHERENT_POSITIVE_SHIFT,143
NOMINAL,20,R02ZF_REUSED_R02ZF_PERSON017,295.0,296.0,0.9029311648688854,0.866526692720381,0.8847289287946349,-0.036404472148504397,OPTICAL_COHERENT_POSITIVE_SHIFT,195
OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,18,R02ZF_REUSED_R02ZF_PERSON017,295.0,296.0,0.9029311648688854,0.866526692720381,0.8847289287946349,-0.036404472148504397,OPTICAL_COHERENT_POSITIVE_SHIFT,121
SAR_SHIFT_PLUS_1,7,R02ZF_REUSED_R02ZF_PERSON017,288.0,289.0,0.8719365847708822,0.821353117566467,0.8466448511686764,-0.0505834672044152,OPTICAL_COHERENT_POSITIVE_SHIFT,42
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,10,R02ZF_REUSED_R02ZF_PERSON017,288.0,289.0,0.8719365847708822,0.821353117566467,0.8466448511686764,-0.0505834672044152,OPTICAL_COHERENT_POSITIVE_SHIFT,81
OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,15,R02ZF_REUSED_R02ZF_PERSON018,291.0,292.0,0.8959734968402273,0.902581247061466,0.8992773719508484,0.006607750221238717,OPTICAL_COHERENT_POSITIVE_SHIFT,77
SAR_SHIFT_MINUS_1,21,R02ZF_REUSED_R02ZF_PERSON018,295.0,296.0,0.8247578992052169,0.9029848731846535,0.863871386194937,0.07822697397943656,OPTICAL_COHERENT_POSITIVE_SHIFT,121
