window_id,run_id,source_sar_frame,destination_sar_frame,branch_count,hypothesis_count,concordant_count,contradictory_count,weak_count,structural_indeterminate_count,unavailable_count,possible_rescue_candidate_gt_blind,manual_reference_used,rescue_established
CMRW_690754181E59ADBA0B8F,R04ZF,37,38,2,460,0,0,395,65,0,False,False,False
CMRW_6C572D1A324D4DEACE47,R04ZF,5,6,2,330,0,0,286,44,0,False,False,False
CMRW_71876438A9651485B777,R04ZF,122,123,1,342,0,0,295,47,0,False,False,False
CMRW_7572B9C541142D1FC78A,R04ZF,77,78,3,748,0,0,601,147,0,False,False,False
CMRW_761D80E0C1EF27F52E82,R04ZF,55,56,2,348,0,0,274,74,0,False,False,False
CMRW_76328920095FE5768CCF,R04ZF,69,70,3,943,0,0,800,143,0,False,False,False
CMRW_7632C19BFE1707DB0A8B,R04ZF,124,125,1,380,0,0,321,59,0,False,False,False
CMRW_7D509B78BC759DE4B1BA,R04ZF,100,101,1,418,0,0,346,72,0,False,False,False
CMRW_7D5AA592AA48129F4E8A,R04ZF,35,36,1,255,0,0,208,47,0,False,False,False
CMRW_7DECA3D309714C5F7000,R04ZF,139,140,1,270,0,0,225,45,0,False,False,False
CMRW_7FBEF79942DBA7F698A5,R04ZF,162,163,1,12,0,0,9,3,0,False,False,False
CMRW_8529BB55506D82F76625,R04ZF,127,128,1,380,0,0,334,46,0,False,False,False
CMRW_8692506ECF1F9CAA1410,R04ZF,140,141,1,288,0,0,252,36,0,False,False,False
CMRW_86DDC340DB916929DC2D,R04ZF,89,90,2,369,0,0,308,61,0,False,False,False
CMRW_8CDB4FFA2048A18CCEF3,R04ZF,59,60,2,295,0,0,244,51,0,False,False,False
CMRW_8CFF9630AD0680053162,R04ZF,4,5,2,395,0,0,343,52,0,False,False,False
CMRW_8EBE2757BEAE9014AA42,R04ZF,104,105,1,256,0,0,213,43,0,False,False,False
CMRW_916B7E20805219E14996,R04ZF,47,48,2,361,0,0,314,47,0,False,False,False
CMRW_931CEBA500B89064C9A9,R04ZF,14,15,2,546,0,0,413,133,0,False,False,False
CMRW_9900CFA30DF94BCB58A8,R04ZF,72,73,3,1059,0,0,891,168,0,False,False,False
CMRW_9CA245CBF4A3EEEA9056,R04ZF,80,81,3,634,0,0,509,125,0,False,False,False
CMRW_9EA6082A7018000E800A,R04ZF,147,148,1,130,0,0,98,32,0,False,False,False
CMRW_9FA802C8D8A2A22F3994,R04ZF,107,108,1,304,0,0,256,48,0,False,False,False
CMRW_A1605CC41E1D49DB365F,R04ZF,45,46,2,416,0,0,363,53,0,False,False,False
CMRW_A1CF8745E101776A5DAA,R04ZF,120,121,1,304,0,0,252,52,0,False,False,False
CMRW_A1E1DD307126A20109DC,R04ZF,142,143,1,225,0,0,186,39,0,False,False,False
CMRW_A64B54DA0C4428693041,R04ZF,90,91,2,345,0,0,296,49,0,False,False,False
CMRW_A9A774C674EC6575A299,R04ZF,144,145,1,195,0,0,157,38,0,False,False,False
CMRW_AE5FB07DAA77CEFDA51D,R04ZF,135,136,1,323,0,0,278,45,0,False,False,False
CMRW_B2ECA63CB1812622653E,R04ZF,12,13,2,298,0,0,241,57,0,False,False,False
CMRW_B3CC460A557F61FAF6D7,R04ZF,52,53,2,468,0,0,402,66,0,False,False,False
CMRW_B5006F053F4D2A39A47C,R04ZF,134,135,1,272,0,0,234,38,0,False,False,False
CMRW_B501C818A244AE20C9E4,R04ZF,130,131,1,306,0,0,257,49,0,False,False,False
CMRW_BB6A2217E0C377A17A22,R04ZF,85,86,2,336,0,0,278,58,0,False,False,False
CMRW_C004A17C13B001D17A12,R04ZF,32,33,1,306,0,0,260,46,0,False,False,False
CMRW_C7AC82F18F61CCBB9AF8,R04ZF,42,43,2,347,0,0,299,48,0,False,False,False
CMRW_C930B6579CCF91674939,R04ZF,65,66,3,848,0,0,707,141,0,False,False,False
CMRW_C9655BECF533F5600D50,R04ZF,114,115,1,240,0,0,187,53,0,False,False,False
CMRW_CA0F6432515BDB77DF5E,R04ZF,145,146,1,165,0,0,132,33,0,False,False,False
CMRW_D06D3DFC661043CAC738,R04ZF,39,40,2,379,0,0,331,48,0,False,False,False
CMRW_D276BE246509C3973E1D,R04ZF,34,35,1,289,0,0,242,47,0,False,False,False
CMRW_D829A237F69D0D57ADD4,R04ZF,9,10,2,324,0,0,263,61,0,False,False,False
CMRW_DB05612A9E7C7F45F824,R04ZF,67,68,3,878,0,0,744,134,0,False,False,False
CMRW_DB9CB349C83A0DCCF47F,R04ZF,20,21,2,453,0,0,342,111,0,False,False,False
CMRW_DBD8E2A141BE42BE845F,R04ZF,82,83,3,693,0,0,577,116,0,False,False,False
CMRW_DF19C117CAB7E74C92C9,R04ZF,30,31,2,369,0,0,325,44,0,False,False,False
CMRW_E4C4FA3713FDAF63D7BD,R04ZF,105,106,1,256,0,0,211,45,0,False,False,False
CMRW_E63AE39774FAE549BF88,R04ZF,24,25,2,434,0,0,350,84,0,False,False,False
CMRW_E6964B91A33FDDB1D757,R04ZF,152,153,1,72,0,0,55,17,0,False,False,False
CMRW_E8958A57705D2B3AE505,R04ZF,19,20,2,572,0,0,406,166,0,False,False,False
CMRW_EBE3A8693B19D61134D2,R04ZF,57,58,2,383,0,0,314,69,0,False,False,False
CMRW_ECE733254BFD123CAA48,R04ZF,132,133,1,252,0,0,217,35,0,False,False,False
CMRW_EFD553E8C89511BF5E9E,R04ZF,149,150,1,120,0,0,92,28,0,False,False,False
CMRW_EFDF1D6CCC8CDC00A472,R04ZF,159,160,1,16,0,0,10,6,0,False,False,False
CMRW_F03C9F43FC1188F5F7C3,R04ZF,49,50,2,399,0,0,338,61,0,False,False,False
CMRW_F2ED2B0F3DA11EF31D03,R04ZF,62,63,3,713,0,0,612,101,0,False,False,False
CMRW_F6EEFD6C08958AA331FC,R04ZF,2,3,2,456,0,0,395,61,0,False,False,False
CMRW_F909F8975FA959F065BA,R04ZF,50,51,2,372,0,0,309,63,0,False,False,False
CMRW_F9BA5027A221D373C717,R04ZF,150,151,1,80,0,0,55,25,0,False,False,False
CMRW_FBDD65BD8AC47869BE10,R04ZF,70,71,3,1000,0,0,842,158,0,False,False,False
