scenario,unit_id,overlap_cluster_id,run_id,entity_id,observed_frame_count,N_region_median,N_region_mean,N_region_max,N_family_median,N_family_mean,N_family_max,A_candidate_px_median,A_candidate_m2_median,A_candidate_over_A_search_support_median,N_joint_world_median_secondary
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100024,8,4.5,5.0,7,4.5,5.0,7,1569.5,1.795338450613695,0.038379196440948934,226600.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100025,8,5.5,5.75,7,5.5,5.75,7,2211.0,2.529145150880458,0.050641441276636584,226600.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100026,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04232558709955482,226600.0
CURRENT_RUNTIME,R02_EARLY_F450_F475,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON100027,8,4.5,4.75,6,4.5,4.75,6,1784.0,2.040703278684187,0.04266535104543352,226600.0
CURRENT_RUNTIME,R02_RELATION_F487_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,8,13.0,12.125,15,9.5,9.125,11,4331.5,4.954768078262644,0.08055283716017134,7875.0
CURRENT_RUNTIME,R02_RELATION_F487_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,8,13.0,12.75,15,9.5,9.375,11,4877.0,5.578761149183173,0.09078529290768586,7875.0
CURRENT_RUNTIME,R02_RELATION_F487_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,8,9.0,8.625,11,7.0,7.5,10,3235.5,3.7010624765598026,0.041431096948035095,7875.0
CURRENT_RUNTIME,R02_RELATION_F487_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,8,4.0,4.0,5,3.5,3.625,5,1742.5,1.993231761831388,0.03506100814459527,7875.0
CURRENT_RUNTIME,R02_RELATION_F487_F494,R02_F450_F494_CLUSTER,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,6,4.5,4.5,6,4.0,4.166666666666667,6,1917.0,2.192840911007616,0.03148399121712365,10848.0
CURRENT_RUNTIME,R03_NATURAL_SINGLETON_F450_F475,R03_F450_F475_CLUSTER,R03ZF,R03ZF_I01_T0004,26,3.0,3.076923076923077,7,3.0,3.076923076923077,7,442.0,0.5056002517816204,0.008031896370338097,3.0
CURRENT_RUNTIME,R03_SINGLETON_CORE_F454_F471,R03_F450_F475_CLUSTER,R03ZF,R03ZF_I01_T0004,18,3.0,3.111111111111111,7,3.0,3.111111111111111,7,442.0,0.5056002517816204,0.008031896370338097,3.0
CURRENT_RUNTIME,R01ZF_MECHANICAL_EARLY,R01ZF_MECHANICAL_EARLY_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,10,10.5,11.2,17,10.0,10.3,15,5781.0,6.612839492193546,0.08387678277534123,115.5
CURRENT_RUNTIME,R01ZF_MECHANICAL_EARLY,R01ZF_MECHANICAL_EARLY_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,10,12.5,13.2,19,11.5,12.0,17,6644.5,7.600590210323476,0.09392702727794655,115.5
CURRENT_RUNTIME,R01ZF_MECHANICAL_MAX_BURDEN,R01ZF_MECHANICAL_MAX_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,10,19.0,19.9,24,16.0,16.4,20,7043.5,8.057003107293761,0.09190199599363783,342.0
CURRENT_RUNTIME,R01ZF_MECHANICAL_MAX_BURDEN,R01ZF_MECHANICAL_MAX_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,10,20.5,20.9,25,17.5,17.8,21,7516.5,8.598064010218437,0.09652247347314179,342.0
CURRENT_RUNTIME,R01ZF_MECHANICAL_MAX_BURDEN,R01ZF_MECHANICAL_MAX_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,2,8.5,8.5,9,7.0,7.0,8,3898.5,4.459462854232233,0.07791073415588137,1696.0
CURRENT_RUNTIME,R01ZF_MECHANICAL_BOUNDARY,R01ZF_MECHANICAL_BOUNDARY_CLUSTER,R01ZF,R01ZF_REUSED_R01ZF_PERSON014,5,2.0,2.2,5,2.0,2.2,5,49.0,0.05605070664547375,0.0009156082103780801,2.0
