scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,47,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,20,4,20,4,8073.0,886.0,9.234639892834888,1.0134882875079538,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,14,3,13,3,6304.0,752.0,7.211094993736052,0.8602067632121685,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,11,3,11,3,6032.0,1038.0,6.899956377255054,1.187359867306158,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,19,3,6954.0,876.0,7.9546247757678445,1.0020493677843878,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,12,2,11,2,6789.0,834.0,7.765882600329006,0.9540059049454104,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,12,3,11,3,6486.0,1211.0,7.419283332704953,1.3852531785238513,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,19,3,5753.0,734.0,6.580810516967561,0.8396167077097496,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,12,3,12,3,5531.0,1354.0,6.326866499104395,1.548829730570846,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,16,3,14,3,5955.0,1354.0,6.811876695383596,1.548829730570846,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,2,15,2,6498.0,739.0,7.433010036373233,0.8453361675715326,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,62,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,4,16,4,5870.0,727.0,6.714645877733284,0.8316094639032534,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,62,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,20,4,17,4,7447.0,1162.0,8.518563518139654,1.3292024718783773,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,62,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,18,3,16,3,6350.0,1012.0,7.263714024464455,1.1576186760248866,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,5,16,5,6189.0,1412.0,7.079547416915041,1.6151754649675292,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,17,3,16,3,6944.0,1241.0,7.94318585604428,1.4195699376945494,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,4,14,4,4688.0,950.0,5.362565566407774,1.0866973737387768,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,13,3,12,3,5985.0,1281.0,6.846193454554293,1.4653256165888138,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,12,2,12,2,5959.0,1220.0,6.816452263273021,1.3955482062750608,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,3,13,3,5288.0,908.0,6.048900749821739,1.0386539108997992,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,4,16,4,7523.0,1490.0,8.605499308038755,1.7043990388113444,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,15,3,14,3,7240.0,1350.0,8.281777879861835,1.5442541626814195,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,14,4,11,4,4386.0,1401.0,5.017110190756078,1.6025926532716064,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,75,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,14,2,13,2,7020.0,1187.0,8.030121645943382,1.3577997711872927,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,75,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,13,1,12,1,6493.0,760.0,7.427290576511449,0.8693578989910213,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,75,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,17,5,14,4,7918.0,1400.0,9.057336637119615,1.60144876129925,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,3,16,3,6731.0,1269.0,7.6995368659323224,1.4515989129205344,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,16,2,15,2,6235.0,862.0,7.132166447643446,0.9860348801713953,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,19,3,16,2,8203.0,1198.0,9.383345849241248,1.3703825828832152,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,80,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,16,3,14,3,6281.0,1287.0,7.1847854783718486,1.4721889684229534,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,80,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,12,1,11,1,3994.0,765.0,4.568704537592288,0.8750773588528045,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,80,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,18,4,16,3,6448.0,1357.0,7.375815437755403,1.5522614064879157,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,85,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,10,2,10,2,3842.0,705.0,4.394832957794085,0.8064438405114079,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,85,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,9,1,9,1,3835.0,698.0,4.386825713987589,0.7984365967049117,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,85,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,13,2,13,2,4814.0,581.0,5.506695954924707,0.6646012359391887,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,90,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,11,2,11,2,3573.0,645.0,4.087126017230157,0.7378103221700116,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,90,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,7,1,7,1,2383.0,614.0,2.7258945701257944,0.7023496710269568,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,90,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,2,12,2,5983.0,531.0,6.843905670609581,0.6074066373213584,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,93,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,6,1,5,1,1939.0,591.0,2.218006534399461,0.6760401556627548,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,93,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,5,1,4,1,1832.0,591.0,2.0956100933573043,0.6760401556627548,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,93,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,16,2,13,2,4579.0,672.0,5.237881341420904,0.76869540542364,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,95,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,6,1,5,1,1962.0,596.0,2.244316049763663,0.6817596155245378,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,95,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,5,1,4,1,1776.0,596.0,2.031552142905334,0.6817596155245378,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,95,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,16,1,14,1,5355.0,446.0,6.125541511969631,0.5101758196710467,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,100,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,5,1,4,1,1458.0,549.0,1.6677944956959332,0.6279966928237773,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,100,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,20,1,16,1,6485.0,509.0,7.418139440732596,0.582241013929513,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,105,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,1,12,1,4606.0,591.0,5.268766424674532,0.6760401556627548,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,110,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,14,2,13,2,3539.0,597.0,4.048233690170031,0.6829035074968944,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,115,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,14,1,14,1,3324.0,417.0,3.8022969161133617,0.47700295247270513,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,120,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,10,1,9,1,1859.0,349.0,2.126495176610933,0.39921829835245587,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,123,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,8,1,7,1,1352.0,316.0,1.5465419466261328,0.36146986326468783,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,125,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,6,1,6,1,1405.0,292.0,1.6071682211610332,0.3340164559281293,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,472,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,8,2,7,2,4079.0,1486.0,4.665935355242601,1.6998234709219182,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,472,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,7,2,6,2,3402.0,1486.0,3.8915204899571774,1.6998234709219182,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,473,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,11,4,9,2,3611.0,1626.0,4.130593912179708,1.859968347051843,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,473,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,4,7,2,2878.0,1626.0,3.2921210964423153,1.859968347051843,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,480,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,8,2,7,1,3247.0,1358.0,3.7142172342419033,1.5534052984602724,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,480,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,8,2,7,1,2851.0,1358.0,3.2612360131886873,1.5534052984602724,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,482,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,9,3,9,3,3822.0,1753.0,4.371955118346952,2.0052426275411324,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,482,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,9,3,9,3,3479.0,1753.0,3.979600171828636,2.0052426275411324,True,True
FULL_STREAM_P0,RAW_FRAGMENT,R02ZF,482,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,2,1,2,1,1145.0,702.0,1.309756308348315,0.8030121645943382,True,True
