order_profile_id,segment_id,run_id,track_a,track_b,component_a_count,component_b_count,component_pair_space_size,optical_order_state,sar_order_state,relative_order_compatibility,common_frame_count,shared_response_observed,shared_region_frame_count,order_representation,weighted_score_used,manual_reference_used
TERGOP_4129E34EE8EEB87DDE6B,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,33,26,858,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,7,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_CBCFAD6F5BE990615771,TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,24,26,624,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,7,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_EB6CCAB0DAAA1E055CD1,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON002,26,24,624,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_7B1DFFF1BD03840B97B5,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON003,26,23,598,A_RIGHT_OF_B,A_RIGHT_OF_B,ORDER_SUPPORTIVE,8,False,0,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_E34BD258DD9BFD085526,TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON003,24,23,552,A_RIGHT_OF_B,A_RIGHT_OF_B,ORDER_SUPPORTIVE,8,False,0,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_9038682A68020427B4C7,TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,10,10,100,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,5,True,5,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_5DC518443F94454B8E13,TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,10,11,110,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,6,True,6,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_B7089067C25D468826C9,TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,19,17,323,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,9,True,9,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_16D7746183432655D65A,TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,48,40,1920,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,23,True,23,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_14D185AC4AAF28B8675F,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,20,17,340,A_LEFT_OF_B,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,8,True,8,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_11A469429C8A81905FE0,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,20,14,280,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,7,True,4,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_76426792894736EAE2FA,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,20,4,80,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,2,True,1,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_AC9A48B9A7E1E597943C,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,17,14,238,A_RIGHT_OF_B,SAR_ORDER_SET_VALUED,SHARED_RESPONSE_ORDER_UNDEFINED,7,True,3,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_FC72507364123FBBF947,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON023,17,4,68,A_RIGHT_OF_B,A_RIGHT_OF_B,ORDER_SUPPORTIVE,2,False,0,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
TERGOP_82A10650D3B8E3892C57,TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,14,4,56,ORDER_OVERLAP_OR_UNCERTAIN,SAR_SHARED_RESPONSE_ORDER_UNDEFINED,SHARED_RESPONSE_ORDER_UNDEFINED,2,True,2,SET_VALUED_AGGREGATE_OVER_ALL_EXPLANATION_COMPONENTS,False,False
