explanation_component_id,segment_id,run_id,track_id,segment_start_sar_frame,segment_end_sar_frame,segment_frame_count,component_start_sar_frame,component_end_sar_frame,component_frame_count,component_node_count,component_supported_edge_count,component_transition_count,component_frame_coverage_fraction,contains_split_like,contains_merge_like,contains_deformation,contains_boundary_censoring,unique_path_claimed,identity_claimed,manual_reference_used
TERGXC_2B4DC1A6FB8006CFC78A,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_2D5466606E363B711335,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_4D8CC0B570DEF2322916,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,9,9,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_B917FFF0C583AEC62B8F,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,10,15,6,6,5,5,0.375,False,False,True,False,False,False,False
TERGXC_B094CC0852DFFDC4BE81,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,10,15,6,6,5,5,0.375,False,False,True,False,False,False,False
TERGXC_DB048BB626A610AD80EA,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,10,15,6,6,5,5,0.375,False,False,True,False,False,False,False
TERGXC_63E798F5514E178F4325,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,11,15,5,5,4,4,0.3125,False,False,True,False,False,False,False
TERGXC_CFB8805E4FAD8347EFEF,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,11,14,4,4,3,3,0.25,False,False,True,False,False,False,False
TERGXC_C7670AEEE7FA0F803F6A,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,11,15,5,7,7,4,0.3125,True,True,True,False,False,False,False
TERGXC_A1A92464D57733DA7EA6,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,11,12,2,2,1,1,0.125,False,False,False,False,False,False,False
TERGXC_1F285D592F55D3D510FD,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,11,11,1,1,0,0,0.0625,False,False,False,False,False,False,False
TERGXC_AE2649555B0A7CEFCAC4,TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,0,15,16,12,12,1,1,0,0,0.0625,False,False,False,False,False,False,False
