sar_event_id,segment_id,run_id,explanation_component_id,track_id,event_type,support_start_sar_frame,support_end_sar_frame,event_uncertainty_state,observable_evidence,event_is_person_event,event_is_hard_label,manual_reference_used
TERGSE_D7E188537341F203ACED,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2E594D296D7BF365431D,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,8,8,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_41E8EC8235B92D1A10CE,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2E594D296D7BF365431D,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,8,8,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_369B0C5BBE57358FB62C,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_2E594D296D7BF365431D,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,8,8,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_C5BC7D55C7E8404C59FE,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C9D6D18EDC6A9B77BC0F,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,8,8,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_9106E9187D19D3D1FE82,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C9D6D18EDC6A9B77BC0F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,8,8,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_26A4EA4B2B69F37E0419,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_C9D6D18EDC6A9B77BC0F,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,8,8,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_74A1B37074ABAC17AF81,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_0BF49AAF19C29EE56201,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,8,8,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_A90EF4127FE1723F02FD,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_0BF49AAF19C29EE56201,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,8,8,SET_VALUED,first q95 node in this explanation component,False,False,False
TERGSE_47E75528FB03846C77C3,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_0BF49AAF19C29EE56201,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_DEATH_WITHIN_SEGMENT,8,8,SET_VALUED,last q95 node in this explanation component,False,False,False
TERGSE_5C1062A5922A5F1E8FC7,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_525F481762874A17DB37,R01ZF_REUSED_R01ZF_PERSON001,SAR_SINGLE_FRAME_RESPONSE_HYPOTHESIS,9,9,GRAPH_COMPONENT_HYPOTHESIS,1 q95 nodes and 0 P0-supported edges,False,False,False
TERGSE_46FD4B25A94ADA2B4FCD,TERGS_E766DA8C46F860D1BA2F,R01ZF,TERGXC_525F481762874A17DB37,R01ZF_REUSED_R01ZF_PERSON001,SAR_RESPONSE_BIRTH_WITHIN_SEGMENT,9,9,SET_VALUED,first q95 node in this explanation component,False,False,False
