segment_id,run_id,track_id,explanation_component_id,dominant_target_id_offline,reference_frame_count,reference_supported_component_frame_count,shared_reference_frame_count,component_grounding_state,strict_identity_claimed
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_58D008CAC84917861BE8,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_88DF9768F491E0343C9B,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_24612ACC1911C2B38728,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_6561106AC3C3AA06781D,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_7425CB65DD2330313857,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_0F45D3D00D19DC423296,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_20FBBB25CADFFD613FCA,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_6052F7503C2F7A93630F,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_30CA3EF19EB2176ECA0E,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_E766DA8C46F860D1BA2F,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_4DC60D8F96B2BC5CC960,R01ZF_SARPERSON03,4,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_0A159E8C8DB045738E84,R01ZF_SARPERSON03,25,25,25,LIKELY_SUPPORTED_EXPLORATORY,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_E1A641DDBFB04BA01A4D,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_9EDB6B828F901CAF34F8,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_BE4E3C340CDD56AC9621,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_017625CC59ACAA970B02,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_B35B9856F77E7D173C77,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_9ED3574D2FEE13BBA886,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_1EC3C047518D5CD9DA37,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_C92AD8272D734C928EE3,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_5D109592B3D72F6D3B37,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
TERGS_78A1EE0BE1319B401D51,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,TERGXC_A4BB4E0DF00C9742307C,R01ZF_SARPERSON03,25,0,0,UNRESOLVED_NO_REFERENCE_SUPPORT_IN_COMPONENT,False
