scenario,entity_kind,run_id,frame_index,entity_id,target_id_oracle,range_tolerance_m,range_oracle_level,N_region_before,N_region_after,N_family_before,N_family_after,A_candidate_px_before,A_candidate_px_after,A_candidate_m2_before,A_candidate_m2_after,reference_range_retained,oracle_diagnostic_only,counterexample_kind
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,62,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,18,3,16,3,6350.0,1012.0,7.263714024464455,1.1576186760248866,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,65,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,17,3,16,3,6944.0,1241.0,7.94318585604428,1.4195699376945494,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,77,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,17,3,16,3,6731.0,1269.0,7.6995368659323224,1.4515989129205344,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,80,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,18,4,16,3,6448.0,1357.0,7.375815437755403,1.5522614064879157,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,10,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,16,3,14,3,7432.0,1594.0,8.501405138554304,1.8233638039364317,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,16,3,14,3,5955.0,1354.0,6.811876695383596,1.548829730570846,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,70,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,15,3,14,3,7240.0,1350.0,8.281777879861835,1.5442541626814195,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,80,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,16,3,14,3,6281.0,1287.0,7.1847854783718486,1.4721889684229534,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,5,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,13,3,13,3,5800.0,1260.0,6.634573439668321,1.441303885169325,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,14,3,13,3,6304.0,752.0,7.211094993736052,0.8602067632121685,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON003,R01ZF_SARPERSON01,3.0,COARSE_RANGE_PM_3M,15,3,13,3,5288.0,908.0,6.048900749821739,1.0386539108997992,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,60,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,12,3,12,3,5531.0,1354.0,6.326866499104395,1.548829730570846,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,66,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARPERSON02,3.0,COARSE_RANGE_PM_3M,13,3,12,3,5985.0,1281.0,6.846193454554293,1.4653256165888138,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,50,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,11,3,11,3,6032.0,1038.0,6.899956377255054,1.187359867306158,True,True,PM3M_STILL_MULTIPLE_FAMILIES
FULL_STREAM_P0,RAW_FRAGMENT,R01ZF,55,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARPERSON03,3.0,COARSE_RANGE_PM_3M,12,3,11,3,6486.0,1211.0,7.419283332704953,1.3852531785238513,True,True,PM3M_STILL_MULTIPLE_FAMILIES
