d_parallel_m,response_median,response_q75,contrast_median,contrast_p25,theta_coherence_median,theta_coherence_p25,temporal_persistence,temporal_positive_fraction,temporal_contrast_iqr,contrast_smooth,persistence_coherence_score
5.0499973,0.1875766,0.19503293931484222,-0.010811113,-0.012724034488201141,0.12437810945273632,0.10945273631840796,0.0,0.0,0.003086704760789871,0.0019145177079859317,0.0
5.099997,0.18357843,0.1933823600411415,-0.013993561,-0.01632198691368103,0.07711442786069651,0.055970149253731345,0.0,0.0,0.003982819616794586,0.0009249306216957229,0.0
5.1499968,0.18308824,0.19044119119644165,-0.016574755,-0.017823223024606705,0.04477611940298507,0.029850746268656716,0.0,0.0,0.00279182568192482,0.0003544508558457939,0.0
5.199997,0.18402267,0.19299939274787903,-0.017830893,-0.020823754370212555,0.05721393034825871,0.04975124378109453,0.0,0.0,0.00545341894030571,0.0001074605257571651,0.0
5.249997,0.18204659,0.18835018575191498,-0.02535998,-0.028638165444135666,0.024875621890547265,0.01990049751243781,0.0,0.0,0.005583625286817551,2.571031924456274e-05,0.0
5.299997,0.18257508,0.19021140038967133,-0.03379289,-0.03702129051089287,0.029850746268656716,0.01990049751243781,0.0,0.0,0.005428541451692581,4.81809759222034e-06,0.0
5.3499966,0.18163297,0.1897786483168602,-0.034183517,-0.042503442615270615,0.024875621890547265,0.014925373134328358,0.0,0.0,0.014455016702413559,6.293902151686238e-07,0.0
5.3999968,0.18054534,0.1897978037595749,-0.01910998,-0.026164207607507706,0.0472636815920398,0.029850746268656716,0.0,0.0,0.009137541055679321,0.0,0.0
5.449997,0.18053003,0.18710172921419144,-0.0129136,-0.01489737257361412,0.05970149253731343,0.04477611940298507,0.0,0.0,0.003777969628572464,0.0,0.0
5.4999967,0.18102023,0.1886412352323532,-0.009926468,-0.011688120663166046,0.09950248756218906,0.08955223880597014,0.0,0.0,0.003536701202392578,0.0,0.0
5.5499964,0.18007812,0.18670342862606049,-0.008141838,-0.009319458156824112,0.08706467661691542,0.07462686567164178,0.0,0.0,0.002418406307697296,0.0,0.0
5.5999966,0.18053004,0.18723193556070328,-0.009022683,-0.010428160429000854,0.09701492537313433,0.07960199004975124,0.0,0.0,0.002395443618297577,0.0,0.0
5.6499968,0.18041131,0.18748468905687332,-0.00719209,-0.008678004145622253,0.09950248756218906,0.0845771144278607,0.0,0.0,0.002650126814842224,0.0,0.0
