run_id,sar_frame_index,optical_frame_index,sar_timestamp_ms,optical_timestamp_ms,timestamp_delta_ms,person_hypothesis_count,sar_image_path,optical_image_path,sync_status,review_group
R02ZF,300,180,10000,10000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000300_t010000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000180_t010000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,330,198,11000,11000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000330_t011000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000198_t011000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,01_early_middle
R02ZF,345,207,11500,11500,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000345_t011500ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000207_t011500ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,360,216,12000,12000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000360_t012000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000216_t012000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,375,225,12500,12500,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000375_t012500ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000225_t012500ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,390,234,13000,13000,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000390_t013000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000234_t013000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,405,243,13500,13500,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000405_t013500ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000243_t013500ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,414,248,13800,13778,-22,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000414_t013800ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000248_t013778ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,421,253,14033,14056,23,1,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000421_t014033ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000253_t014056ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,428,257,14267,14278,11,1,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000428_t014267ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000257_t014278ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,435,261,14500,14500,0,1,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000435_t014500ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000261_t014500ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,442,265,14733,14722,-11,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000442_t014733ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000265_t014722ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,02_late_to_f421
R02ZF,450,270,15000,15000,0,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000450_t015000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000270_t015000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,456,274,15200,15222,22,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000456_t015200ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000274_t015222ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,462,277,15400,15389,-11,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000462_t015400ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000277_t015389ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,468,281,15600,15611,11,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000468_t015600ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000281_t015611ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,474,284,15800,15778,-22,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000474_t015800ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000284_t015778ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,480,288,16000,16000,0,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000480_t016000ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000288_t016000ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,486,292,16200,16222,22,4,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000486_t016200ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000292_t016222ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,492,295,16400,16389,-11,4,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000492_t016400ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000295_t016389ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,494,296,16467,16444,-23,4,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000494_t016467ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000296_t016444ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,03_f450_f494
R02ZF,95,57,3167,3167,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000095_t003167ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000057_t003167ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,110,66,3667,3667,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000110_t003667ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000066_t003667ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,155,93,5167,5167,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000155_t005167ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000093_t005167ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,260,156,8667,8667,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000260_t008667ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000156_t008667ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,380,228,12667,12667,0,0,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000380_t012667ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000228_t012667ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,472,283,15733,15722,-11,2,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000472_t015733ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000283_t015722ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,482,289,16067,16056,-11,3,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000482_t016067ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000289_t016056ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
R02ZF,488,293,16267,16278,11,5,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\sar_pseudocolor\R02ZF\frame_000488_t016267ms.jpg,C:\research_raw\optical_sar_data\20260721data\derived_frames\pseudocolor_labelstudio_prep_20260722\frames\optical\R02ZF\frame_000293_t016278ms.jpg,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,04_dense_and_controls
