family_id,track_id,frame_index,physical_region_id,frame_uid,region_id,theta_min_deg,theta_max_deg,segment_id,run_id
TERGV1F_B8D05BDDD9E67F79A1D7,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_EDF0969CCEC855A9688A,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0013,-29.780590057373047,-24.470922470092773,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_B8D05BDDD9E67F79A1D7,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_69F750386009B9896EC7,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0009,-29.132455825805664,-23.971078872680664,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_B8D05BDDD9E67F79A1D7,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_F4F71D102FDDDFFA396A,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0004,-28.528076171875,-23.159717559814453,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_B8D05BDDD9E67F79A1D7,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_D6E92ACDF8A6C96BAB37,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0013,-27.79356575012207,-22.936304092407227,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_E54A5F6BDC558FB43B7E,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_A87DB9F7549D4EB77D40,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0014,-27.7841911315918,-26.415674209594727,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_E54A5F6BDC558FB43B7E,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_7A517F2BEF490EB493BD,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0011,-27.7841911315918,-26.00341415405273,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_E54A5F6BDC558FB43B7E,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_4A85922053D168100F49,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0014,-27.42189598083496,-25.68625831604004,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_E54A5F6BDC558FB43B7E,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_DE08437CEF886ADF02B9,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0008,-27.28686141967773,-25.18188095092773,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_E54A5F6BDC558FB43B7E,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_9868575087E7FD0FC2ED,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0012,-27.242563247680664,-24.80409049987793,TERGS_1BB7B9183580C17A201F,R02ZF
TERGV1F_0523EAEC17A647CEFBD0,R02ZF_REUSED_R02ZF_PERSON017,492,TERGV1PR_A0715A46D9B3AEFF7D97,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0040,-18.39065933227539,-14.814179420471191,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,487,TERGV1PR_8FA045787EBA665C4BD8,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0038,-18.89672088623047,-18.193601608276367,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,488,TERGV1PR_E95FB41223CA2544AE1C,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0034,-18.63964462280273,-18.06803321838379,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,489,TERGV1PR_1243193BE288E4657C8D,R02ZF_SARF000489,R02ZF_SARF000489__Q095__R0024,-18.513673782348636,-17.396427154541016,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,490,TERGV1PR_16BAE9FD0C260A20AE53,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0028,-18.193601608276367,-17.173789978027344,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,491,TERGV1PR_4866FD3E40D9E9B4270E,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0027,-18.001079559326172,-16.943143844604492,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,492,TERGV1PR_9247AE1B1FF744377C53,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0021,-18.03244400024414,-16.787565231323242,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,493,TERGV1PR_FC83EBF0B32C8A1657F0,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0028,-17.645553588867188,-16.428401947021484,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2F6441618AE6AE884F5A,R02ZF_REUSED_R02ZF_PERSON017,494,TERGV1PR_AD1F4AEDD617A12B64DB,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0044,-16.89647674560547,-16.290578842163086,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_1EB4BB6131BB66D496D9,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_62D1E0E4199134E48D3C,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0046,-27.16231918334961,-24.275434494018555,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,487,TERGV1PR_F042C15AEFF8A52F2889,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0026,-28.227096557617188,-27.14167594909668,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,488,TERGV1PR_0A1661579BCF76001027,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0025,-28.185691833496094,-27.00527572631836,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,489,TERGV1PR_C10ACDAF4BF5B983A42F,R02ZF_SARF000489,R02ZF_SARF000489__Q095__R0018,-28.233686447143555,-26.4162654876709,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_A87DB9F7549D4EB77D40,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0014,-27.7841911315918,-26.415674209594727,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_7A517F2BEF490EB493BD,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0011,-27.7841911315918,-26.00341415405273,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_4A85922053D168100F49,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0014,-27.42189598083496,-25.68625831604004,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_DE08437CEF886ADF02B9,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0008,-27.28686141967773,-25.18188095092773,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_2CD66E28F15376966654,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_9868575087E7FD0FC2ED,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0012,-27.242563247680664,-24.80409049987793,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_6FED02D44867AE04088D,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_6A319DFA2FAADB40F64B,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0052,-27.065889358520508,-25.782344818115234,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_6FED02D44867AE04088D,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_4B98B2EE0838423332AE,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0049,-25.887222290039062,-25.348169326782227,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,487,TERGV1PR_93E2FF8BCCA269D6A7BB,R02ZF_SARF000487,R02ZF_SARF000487__Q095__R0011,-30.213035583496094,-26.05475807189941,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,488,TERGV1PR_DCE9B3FC2F0D0AC79E8F,R02ZF_SARF000488,R02ZF_SARF000488__Q095__R0017,-29.66212654113769,-25.682435989379883,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,489,TERGV1PR_46219A2EE36994261315,R02ZF_SARF000489,R02ZF_SARF000489__Q095__R0011,-31.274768829345703,-25.612445831298828,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,490,TERGV1PR_141DC01FBCE30EE542B8,R02ZF_SARF000490,R02ZF_SARF000490__Q095__R0009,-30.67096328735352,-25.24152183532715,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,491,TERGV1PR_EDF0969CCEC855A9688A,R02ZF_SARF000491,R02ZF_SARF000491__Q095__R0013,-29.780590057373047,-24.470922470092773,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,492,TERGV1PR_69F750386009B9896EC7,R02ZF_SARF000492,R02ZF_SARF000492__Q095__R0009,-29.132455825805664,-23.971078872680664,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,493,TERGV1PR_F4F71D102FDDDFFA396A,R02ZF_SARF000493,R02ZF_SARF000493__Q095__R0004,-28.528076171875,-23.159717559814453,TERGS_406E06BEE8B19831E091,R02ZF
TERGV1F_793E6649460CB87510B5,R02ZF_REUSED_R02ZF_PERSON018,494,TERGV1PR_D6E92ACDF8A6C96BAB37,R02ZF_SARF000494,R02ZF_SARF000494__Q095__R0013,-27.79356575012207,-22.936304092407227,TERGS_406E06BEE8B19831E091,R02ZF
