case_id,segment_id,run_id,frame_index,track_a,track_b,family_a,family_b,nominal_optical_timestamp_ms,optical_relation,family_a_theta_min_deg,family_a_theta_max_deg,family_b_theta_min_deg,family_b_theta_max_deg,sar_relation,physical_region_shared,r0_pairing_status
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,493,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16444,A_LEFT_OF_B,-17.645553588867188,-16.428401947021484,-27.28686141967773,-25.18188095092773,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_C_SUPPORT_AT_LEAST_5,TERGS_406E06BEE8B19831E091,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_2CD66E28F15376966654,16444,A_LEFT_OF_B,-16.89647674560547,-16.290578842163086,-27.242563247680664,-24.80409049987793,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,487,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16222,A_LEFT_OF_B,-18.89672088623047,-18.193601608276367,-30.213035583496094,-26.05475807189941,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,488,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16278,A_LEFT_OF_B,-18.63964462280273,-18.06803321838379,-29.66212654113769,-25.682435989379883,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,489,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16278,A_LEFT_OF_B,-18.513673782348636,-17.396427154541016,-31.274768829345703,-25.612445831298828,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,490,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16333,A_LEFT_OF_B,-18.193601608276367,-17.173789978027344,-30.67096328735352,-25.24152183532715,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,491,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16389,A_LEFT_OF_B,-18.001079559326172,-16.943143844604492,-29.780590057373047,-24.470922470092773,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,492,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16389,A_LEFT_OF_B,-18.03244400024414,-16.787565231323242,-29.132455825805664,-23.971078872680664,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,493,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16444,A_LEFT_OF_B,-17.645553588867188,-16.428401947021484,-28.528076171875,-23.159717559814453,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
five_track_D_LONGEST_SUPPORT,TERGS_406E06BEE8B19831E091,R02ZF,494,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,TERGV1F_2F6441618AE6AE884F5A,TERGV1F_793E6649460CB87510B5,16444,A_LEFT_OF_B,-16.89647674560547,-16.290578842163086,-27.79356575012207,-22.936304092407227,RIGHT,False,LOGICALLY_EXCLUDED_PAIRING
