segment_id,run_id,track_id,static_corridor_node_count,sum_component_node_count,all_static_nodes_retained_in_some_component,plausible_explanation_component_count,multi_frame_component_count,isolated_component_count,actual_pruned_component_count,actual_pruned_node_count,counterfactual_isolated_component_count,counterfactual_isolated_node_count,counterfactual_multiframe_node_count,likely_supported_component_count_post_reference,likely_supported_multiframe_component_count_post_reference,likely_supported_isolated_component_count_post_reference,current_potential_disambiguation_gt_blind,recommended_pre_reference_term
TERGS_4DCF92A4ED1645C80C30,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,74,74,True,13,11,2,0,0,2,2,72,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,124,124,True,30,18,12,0,0,12,12,112,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,131,131,True,33,20,13,0,0,13,13,118,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D939CE55686A60BC97A8,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,83,83,True,15,12,3,0,0,3,3,80,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,123,123,True,29,19,10,0,0,10,10,113,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,128,128,True,30,20,10,0,0,10,10,118,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6E3564DE2B9BCF7CE7F6,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,84,84,True,17,11,6,0,0,6,6,78,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,94,94,True,33,16,17,0,0,17,17,77,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,91,91,True,24,14,10,0,0,10,10,81,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_F01D7DE8D068D8533122,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,109,109,True,26,19,7,0,0,7,7,102,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON001,100,100,True,26,17,9,0,0,9,9,91,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON002,109,109,True,24,17,7,0,0,7,7,102,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_2329DA3AFF8E7609BCB2,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,95,95,True,23,12,11,0,0,11,11,84,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_333C24F63385DAFD9021,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,312,312,True,34,23,11,0,0,11,11,301,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_2A1E38ABAA50E3792676,R01ZF,R01ZF_REUSED_R01ZF_PERSON003,89,89,True,21,18,3,0,0,3,3,86,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,29,29,True,10,7,3,0,0,3,3,26,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_5CE262A17741C5FC8BFB,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,28,28,True,10,6,4,0,0,4,4,24,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,33,33,True,10,7,3,0,0,3,3,30,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_DA539F692DB3CF52F38F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,53,53,True,19,10,9,0,0,9,9,44,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_A6E046163A60B75E621B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,54,54,True,17,9,8,0,0,8,8,46,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D9A02C06CA67BAF86AAE,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,195,195,True,48,25,23,0,0,23,23,172,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_190792243168018C6692,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,190,190,True,40,21,19,0,0,19,19,171,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,195,195,True,48,25,23,0,0,23,23,172,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6436F78EE3B62E359C28,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,190,190,True,40,21,19,0,0,19,19,171,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,65,True,20,11,9,0,0,9,9,56,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,69,69,True,17,12,5,0,0,5,5,64,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,27,27,True,14,4,10,0,0,10,10,17,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_D848C6E5AC73E1AEEFDA,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,6,6,True,4,2,2,0,0,2,2,4,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,41,41,True,14,8,6,0,0,6,6,35,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,42,42,True,11,8,3,0,0,3,3,39,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_E7F91D8684FAAF6A9219,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,17,17,True,9,2,7,0,0,7,7,10,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,69,69,True,19,12,7,0,0,7,7,62,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,73,73,True,16,13,3,0,0,3,3,70,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,34,34,True,17,4,13,0,0,13,13,21,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,10,10,True,6,2,4,0,0,4,4,6,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,4,4,True,4,0,4,0,0,4,4,0,0,0,0,False,TEMPORAL_STRATIFICATION
TERGS_409886F81D9E45334F4F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,89,True,31,11,20,0,0,20,20,69,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,142,142,True,32,18,14,0,0,14,14,128,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,89,True,31,11,20,0,0,20,20,69,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,136,136,True,27,16,11,0,0,11,11,125,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,89,89,True,31,11,20,0,0,20,20,69,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,92,92,True,23,14,9,0,0,9,9,83,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,84,84,True,22,13,9,0,0,9,9,75,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,69,69,True,24,10,14,0,0,14,14,55,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,11,11,True,6,2,4,0,0,4,4,7,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_4B565EEA0C6931299151,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,84,84,True,24,14,10,0,0,10,10,74,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_8D6DB9A2F108568B32AA,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,74,74,True,22,10,12,0,0,12,12,62,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_A923293CFBC550AE18D7,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,62,62,True,21,10,11,0,0,11,11,51,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_F66D1A1E88076E254C22,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,84,84,True,24,14,10,0,0,10,10,74,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,74,74,True,22,10,12,0,0,12,12,62,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,62,62,True,21,10,11,0,0,11,11,51,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,7,7,True,4,2,2,0,0,2,2,5,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_48FABD798C7CE3742190,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,34,34,True,11,6,5,0,0,5,5,29,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,65,True,19,12,7,0,0,7,7,58,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,56,56,True,18,10,8,0,0,8,8,48,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,49,49,True,17,9,8,0,0,8,8,41,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_1BB7B9183580C17A201F,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,27,27,True,9,6,3,0,0,3,3,24,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,65,65,True,19,12,7,0,0,7,7,58,0,0,0,True,TEMPORAL_STRATIFICATION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,56,56,True,18,10,8,0,0,8,8,48,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,49,49,True,17,9,8,0,0,8,8,41,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_CAAB4EA22C44536DF2CC,R02ZF,R02ZF_REUSED_R02ZF_PERSON024,27,27,True,9,6,3,0,0,3,3,24,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_FD6F6E750E8BBEA9ED4C,R03ZF,R03ZF_I01_T0004,151,151,True,62,15,47,0,0,47,47,104,1,1,0,True,TEMPORAL_STRATIFICATION
TERGS_6EA858FDC375FA946246,R03ZF,R03ZF_I01_T0004,151,151,True,62,15,47,0,0,47,47,104,1,1,0,True,TEMPORAL_STRATIFICATION
