order_profile_id,segment_id,run_id,track_a,track_b,current_relative_order_compatibility,current_shared_region_frame_count,component_pair_space_size,component_pairs_with_common_frames,possible_relation_set,relation_set_classification,pair_frame_left_count,pair_frame_right_count,pair_frame_shared_count,pair_frame_overlap_count,component_pair_support_left_count,component_pair_support_right_count,component_pair_support_shared_count,component_pair_support_overlap_count,exclusive_component_pair_left_count,exclusive_component_pair_right_count,exclusive_component_pair_shared_count,exclusive_component_pair_overlap_count
TERGOP_A135960046DBAC066CAC,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,3,102,46,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,8,38,8,4,8,29,6,4,8,28,6,3
TERGOP_947212180E34CD79A038,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON021,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,68,24,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,3,17,3,1,3,17,3,1,3,17,3,1
TERGOP_D6454BA8305867E9032F,TERGS_60EB5053F2693E18D58B,R02ZF,R02ZF_REUSED_R02ZF_PERSON023,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,1,24,16,"{LEFT,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,6,6,4,0,6,6,4,0,6,6,4,0
TERGOP_CAA8F67BE7BAB5125923,TERGS_6C426359C612628C7A31,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,11,992,360,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,59,478,50,121,34,268,17,59,27,257,17,41
TERGOP_5FA2D8360F6AE3E97349,TERGS_38238A43231066968F66,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,10,837,330,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,17,505,35,87,10,275,12,41,10,267,12,33
TERGOP_4477223B274F5A04D50A,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON018,SHARED_RESPONSE_ORDER_UNDEFINED,8,506,317,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,287,157,66,203,130,81,21,105,116,75,21,85
TERGOP_63B4FAFEADDE19F47114,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,8,552,310,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,65,400,44,123,39,220,14,58,31,207,14,37
TERGOP_48D74BA5015DE1BA7AC5,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON023,SHARED_RESPONSE_ORDER_UNDEFINED,3,138,48,"{OVERLAP,RIGHT,SHARED}",SHARED_PLUS_PARTIAL_DIRECTION,0,68,3,5,0,45,1,4,0,43,1,2
TERGOP_37C9F13213E93B74CDF9,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON017,R02ZF_REUSED_R02ZF_PERSON024,SHARED_RESPONSE_ORDER_UNDEFINED,6,253,157,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,1,284,11,31,1,141,5,16,1,136,4,10
TERGOP_018995BF601CC68894DE,TERGS_406E06BEE8B19831E091,R02ZF,R02ZF_REUSED_R02ZF_PERSON018,R02ZF_REUSED_R02ZF_PERSON021,SHARED_RESPONSE_ORDER_UNDEFINED,8,528,294,"{LEFT,OVERLAP,RIGHT,SHARED}",SHARED_PLUS_COMPETING_DIRECTIONS,24,423,32,94,16,232,12,45,15,222,12,34
