run_id,timing_condition,sar_frame_uid,sar_frame_index,sar_timestamp_ms,optical_query_frame_index,optical_query_timestamp_ms,query_semantics,query_available,raw_observation_count,query_timestamp_matches_decoded_frame,sync_status,reference_used
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000474,474,15800,283.0,15722.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000475,475,15833,284.0,15778.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000476,476,15867,285.0,15833.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000477,477,15900,285.0,15833.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000478,478,15933,286.0,15889.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000479,479,15967,286.0,15889.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000480,480,16000,287.0,15944.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000481,481,16033,288.0,16000.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000482,482,16067,288.0,16000.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000483,483,16100,289.0,16056.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000484,484,16133,289.0,16056.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000485,485,16167,290.0,16111.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000486,486,16200,291.0,16167.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000487,487,16233,291.0,16167.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,3,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000488,488,16267,292.0,16222.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000489,489,16300,292.0,16222.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000490,490,16333,293.0,16278.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,5,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000491,491,16367,294.0,16333.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000492,492,16400,294.0,16333.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000493,493,16433,295.0,16389.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,R02ZF_SARF000494,494,16467,295.0,16389.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,4,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000472,472,15733,284.0,15778.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000473,473,15767,285.0,15833.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
R02ZF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,R02ZF_SARF000474,474,15800,285.0,15833.0,FIXED_DECODED_OPTICAL_FRAME_INDEX_SHIFT,True,2,True,NOMINAL_INDEX_FPS_ZERO_OFFSET_UNVERIFIED,False
