run_id,tree_id,competition_rank,range_hypothesis_center_m,sar_frame_index,sar_timestamp_ms,region_id,theta_pred_deg,theta_sar_deg,theta_residual_deg,range_sar_m,score_max,manual_person_reference_used
R02ZF,TREE_A_USER_F120,1,14.5,170,5667,R02ZF_SARF000170__Q095__R0051,11.645827736298784,13.296612614421106,1.6507848781223213,14.007663214211735,0.5596152544021606,False
R02ZF,TREE_A_USER_F120,1,14.5,172,5733,R02ZF_SARF000172__Q095__R0034,10.434515838466474,13.178533012132116,2.7440171736656414,14.164829142994657,0.6640722751617432,False
R02ZF,TREE_A_USER_F120,1,14.5,173,5767,R02ZF_SARF000173__Q095__R0040,10.349207650348916,12.159194422636705,1.8099867722877896,14.171401665803348,0.6262438893318176,False
R02ZF,TREE_A_USER_F120,1,14.5,174,5800,R02ZF_SARF000174__Q095__R0029,10.005681314677283,13.780644640025344,3.774963325348061,14.185929469653056,0.6841949224472046,False
R02ZF,TREE_A_USER_F120,1,14.5,175,5833,R02ZF_SARF000175__Q095__R0037,9.531791373050403,6.438988396289402,-3.092802976761001,15.111554002600151,0.6331169605255127,False
R02ZF,TREE_A_USER_F120,1,14.5,176,5867,R02ZF_SARF000176__Q095__R0025,8.910280880199672,7.416251549850433,-1.494029330349239,15.089544353384346,0.7037303447723389,False
R02ZF,TREE_A_USER_F120,1,14.5,177,5900,R02ZF_SARF000177__Q095__R0060,8.462373100009245,11.823449252495072,3.3610761524858273,14.18269255173934,0.5461543202400208,False
R02ZF,TREE_A_USER_F120,1,14.5,178,5933,R02ZF_SARF000178__Q095__R0023,8.325111304383498,8.140566469679232,-0.18454483470426553,15.09343806129598,0.7330929040908813,False
R02ZF,TREE_A_USER_F120,1,14.5,179,5967,R02ZF_SARF000179__Q095__R0033,8.150756149270187,8.342438899333613,0.1916827500634266,15.115664454642472,0.662544846534729,False
R02ZF,TREE_A_USER_F120,1,14.5,180,6000,R02ZF_SARF000180__Q095__R0026,7.966241350711236,7.065868921216079,-0.9003724294951576,13.899012355437243,0.7233320474624634,False
