run_id,sar_frame_index,sar_timestamp_ms,pair_id,theta_overlap_fraction,delta_r_median_m,delta_r_p90_absdev_m,delta_r_theta_p90_minus_p10_m,ordering_a_before_b_fraction,pair_available,manual_person_reference_used
R02ZF,23,767,PARALLEL_BOUNDARY_PAIR_A_B,0.4945054945054945,2.0499982833862305,0.7499990463256836,1.0299995422363284,1.0,False,False
R02ZF,24,800,PARALLEL_BOUNDARY_PAIR_A_B,0.4175824175824176,2.149998188018799,0.6149996757507327,0.7799991607666015,1.0,False,False
R02ZF,25,833,PARALLEL_BOUNDARY_PAIR_A_B,0.45054945054945056,2.0999984741210938,0.6000003814697266,0.8499994277954102,1.0,False,False
R02ZF,26,867,PARALLEL_BOUNDARY_PAIR_A_B,0.5494505494505495,2.149998188018799,1.0149994850158695,0.9549993038177491,1.0,False,False
R02ZF,27,900,PARALLEL_BOUNDARY_PAIR_A_B,0.5824175824175825,2.0499982833862305,0.7799988746643071,1.0799993515014648,1.0,False,False
R02ZF,28,933,PARALLEL_BOUNDARY_PAIR_A_B,0.43956043956043955,2.199997901916504,0.849998950958252,1.4049986839294433,1.0,False,False
R02ZF,29,967,PARALLEL_BOUNDARY_PAIR_A_B,0.4835164835164835,2.0999982357025146,0.8199992179870609,1.2349983215332032,1.0,False,False
R02ZF,30,1000,PARALLEL_BOUNDARY_PAIR_A_B,0.4835164835164835,2.199997901916504,0.81999945640564,1.3499988079071046,1.0,False,False
R02ZF,31,1033,PARALLEL_BOUNDARY_PAIR_A_B,0.4065934065934066,2.1499977111816406,0.8499984741210938,1.0699984550476072,1.0,False,False
R02ZF,32,1067,PARALLEL_BOUNDARY_PAIR_A_B,0.4725274725274725,2.2999978065490723,0.4999995231628418,0.7399993896484374,1.0,False,False
R02ZF,33,1100,PARALLEL_BOUNDARY_PAIR_A_B,0.37362637362637363,2.1749980449676514,0.674999475479126,0.9849994659423829,1.0,False,False
R02ZF,34,1133,PARALLEL_BOUNDARY_PAIR_A_B,0.4065934065934066,2.2999978065490723,0.39999961853027344,0.689999294281006,1.0,False,False
R02ZF,35,1167,PARALLEL_BOUNDARY_PAIR_A_B,0.38461538461538464,2.0999979972839355,0.849998950958252,1.2499984741210937,1.0,False,False
R02ZF,36,1200,PARALLEL_BOUNDARY_PAIR_A_B,0.4065934065934066,2.149998188018799,0.7399991035461424,1.0599991798400876,1.0,False,False
R02ZF,37,1233,PARALLEL_BOUNDARY_PAIR_A_B,0.4175824175824176,2.0999977588653564,1.0149987220764163,1.4799986839294437,1.0,False,False
R02ZF,38,1267,PARALLEL_BOUNDARY_PAIR_A_B,0.5824175824175825,2.199997901916504,0.9999990463256836,1.399998664855957,1.0,False,False
