run_id,frame_uid,frame_index,sar_timestamp_ms,mode,shell_id,track_id,source_observation_count,source_timestamp_min_ms,source_timestamp_max_ms,source_has_future_observation,source_raw_fragment_ids,effective_intervals_json,effective_width_deg,candidate_q95_region_count,timing_window_low_offset_ms,timing_window_high_offset_ms,manual_reference_used,sar_range_assigned_by_optical,strict_runtime_identity_claimed
R01ZF,R01ZF_SARF000007,7,233,CAUSAL_REPLAY,R01ZF_SARF000007__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,5,0,222,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -12.900673573136284]]",26.102195419756736,14,-250,0,False,False,False
R01ZF,R01ZF_SARF000007,7,233,FIXED_LAG_100MS,R01ZF_SARF000007__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,7,0,333,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -15.199614036453905]]",30.322936561262832,15,-250,100,False,False,False
R01ZF,R01ZF_SARF000007,7,233,FIXED_LAG_100MS,R01ZF_SARF000007__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,7,0,333,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -9.253859481453638]]",29.749009511439382,16,-250,100,False,False,False
R01ZF,R01ZF_SARF000007,7,233,FULL_CONTEXT_OFFLINE,R01ZF_SARF000007__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,9,0,444,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-45.52255059771674, -11.598006070415533]]",33.92454452730121,16,-250,250,False,False,False
R01ZF,R01ZF_SARF000007,7,233,FULL_CONTEXT_OFFLINE,R01ZF_SARF000007__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,9,0,444,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-39.00286899289302, -5.686104028860555]]",33.316764964032465,18,-250,250,False,False,False
R01ZF,R01ZF_SARF000008,8,267,CAUSAL_REPLAY,R01ZF_SARF000008__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,4,56,222,False,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -18.878242980677054]]",24.712504172135663,11,-250,0,False,False,False
R01ZF,R01ZF_SARF000008,8,267,CAUSAL_REPLAY,R01ZF_SARF000008__CAUSAL_REPLAY__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,4,56,222,False,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -12.900673573136284]]",24.25333063279368,17,-250,0,False,False,False
R01ZF,R01ZF_SARF000008,8,267,FIXED_LAG_100MS,R01ZF_SARF000008__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,6,56,333,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -15.199614036453905]]",28.391133116358812,16,-250,100,False,False,False
R01ZF,R01ZF_SARF000008,8,267,FIXED_LAG_100MS,R01ZF_SARF000008__FIXED_LAG_100MS__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,6,56,333,True,R01ZF_REUSED_R01ZF_PERSON002,"[[-37.154004205929965, -9.253859481453638]]",27.900144724476327,18,-250,100,False,False,False
R01ZF,R01ZF_SARF000008,8,267,FULL_CONTEXT_OFFLINE,R01ZF_SARF000008__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,9,56,500,True,R01ZF_REUSED_R01ZF_PERSON001,"[[-43.59074715281272, -9.831223863411534]]",33.75952328940119,19,-250,250,False,False,False
