run_id,frame_uid,frame_index,mode,active_raw_fragment_shell_count,shell_region_edge_count,q95_region_count_full_fan,negative_optical_time
R01ZF,R01ZF_SARF000080,80,FIXED_LAG_100MS,3,47,54,False
R01ZF,R01ZF_SARF000080,80,FULL_CONTEXT_OFFLINE,3,50,54,False
R01ZF,R01ZF_SARF000081,81,CAUSAL_REPLAY,3,39,52,False
R01ZF,R01ZF_SARF000081,81,FIXED_LAG_100MS,3,42,52,False
R01ZF,R01ZF_SARF000081,81,FULL_CONTEXT_OFFLINE,3,45,52,False
R01ZF,R01ZF_SARF000082,82,CAUSAL_REPLAY,3,43,55,False
R01ZF,R01ZF_SARF000082,82,FIXED_LAG_100MS,3,46,55,False
R01ZF,R01ZF_SARF000082,82,FULL_CONTEXT_OFFLINE,3,50,55,False
R01ZF,R01ZF_SARF000083,83,CAUSAL_REPLAY,3,39,57,False
R01ZF,R01ZF_SARF000083,83,FIXED_LAG_100MS,3,41,57,False
R01ZF,R01ZF_SARF000083,83,FULL_CONTEXT_OFFLINE,3,44,57,False
R01ZF,R01ZF_SARF000084,84,CAUSAL_REPLAY,3,35,48,False
R01ZF,R01ZF_SARF000084,84,FIXED_LAG_100MS,3,38,48,False
R01ZF,R01ZF_SARF000084,84,FULL_CONTEXT_OFFLINE,3,40,48,False
R01ZF,R01ZF_SARF000085,85,CAUSAL_REPLAY,3,32,49,False
R01ZF,R01ZF_SARF000085,85,FIXED_LAG_100MS,3,33,49,False
R01ZF,R01ZF_SARF000085,85,FULL_CONTEXT_OFFLINE,3,36,49,False
R01ZF,R01ZF_SARF000086,86,CAUSAL_REPLAY,3,30,54,False
R01ZF,R01ZF_SARF000086,86,FIXED_LAG_100MS,3,34,54,False
R01ZF,R01ZF_SARF000086,86,FULL_CONTEXT_OFFLINE,3,36,54,False
R01ZF,R01ZF_SARF000087,87,CAUSAL_REPLAY,3,34,50,False
R01ZF,R01ZF_SARF000087,87,FIXED_LAG_100MS,3,35,50,False
R01ZF,R01ZF_SARF000087,87,FULL_CONTEXT_OFFLINE,3,36,50,False
R01ZF,R01ZF_SARF000088,88,CAUSAL_REPLAY,3,31,49,False
R01ZF,R01ZF_SARF000088,88,FIXED_LAG_100MS,3,32,49,False
R01ZF,R01ZF_SARF000088,88,FULL_CONTEXT_OFFLINE,3,34,49,False
R01ZF,R01ZF_SARF000089,89,CAUSAL_REPLAY,3,29,48,False
R01ZF,R01ZF_SARF000089,89,FIXED_LAG_100MS,3,32,48,False
R01ZF,R01ZF_SARF000089,89,FULL_CONTEXT_OFFLINE,3,32,48,False
R01ZF,R01ZF_SARF000090,90,CAUSAL_REPLAY,3,33,49,False
R01ZF,R01ZF_SARF000090,90,FIXED_LAG_100MS,3,35,49,False
R01ZF,R01ZF_SARF000090,90,FULL_CONTEXT_OFFLINE,3,36,49,False
R01ZF,R01ZF_SARF000091,91,CAUSAL_REPLAY,3,31,53,False
R01ZF,R01ZF_SARF000091,91,FIXED_LAG_100MS,3,33,53,False
R01ZF,R01ZF_SARF000091,91,FULL_CONTEXT_OFFLINE,3,35,53,False
R01ZF,R01ZF_SARF000092,92,CAUSAL_REPLAY,3,32,50,False
R01ZF,R01ZF_SARF000092,92,FIXED_LAG_100MS,3,32,50,False
R01ZF,R01ZF_SARF000092,92,FULL_CONTEXT_OFFLINE,3,33,50,False
R01ZF,R01ZF_SARF000093,93,CAUSAL_REPLAY,3,27,53,False
R01ZF,R01ZF_SARF000093,93,FIXED_LAG_100MS,3,30,53,False
