run_id,frame_uid,frame_index,mode,shell_id,track_id,region_id,region_label,intersection_pixel_count,region_pixel_count,region_coverage_fraction,theta_min_deg,theta_max_deg,range_min_m,range_max_m,pixel_intersection_used,edge_semantics
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0020,20,287,287,1.0,-36.13178634643555,-33.42591094970703,18.733454098520358,19.230485649755032,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0021,21,205,205,1.0,-36.286399841308594,-34.002803802490234,14.618698590670517,15.122797268955972,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0028,28,12,177,0.06779661016949153,-19.244962692260742,-15.517252922058105,6.814053819418155,7.359252171370706,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0029,29,331,366,0.9043715846994536,-45.999298095703125,-42.31557083129883,13.45653653787673,13.98073426173833,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0032,32,238,340,0.7,-22.406240463256836,-17.509326934814453,8.546930505950076,9.231282210007098,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0033,33,27,135,0.2,-19.406810760498047,-17.3721981048584,12.738976974586715,13.145789377525528,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0034,34,69,69,1.0,-30.869035720825195,-29.423992156982422,12.507464828447189,12.792483600307834,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0040,40,3,18,0.16666666666666666,-19.015398025512695,-18.26091957092285,19.444953912589526,19.530713143259213,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON001,R01ZF_REUSED_R01ZF_PERSON001,R01ZF_SARF000000__Q095__R0041,41,16,16,1.0,-42.75692367553711,-42.277565002441406,14.59023810267603,14.733600560098608,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
R01ZF,R01ZF_SARF000000,0,FULL_CONTEXT_OFFLINE,R01ZF_SARF000000__FULL_CONTEXT_OFFLINE__R01ZF_REUSED_R01ZF_PERSON002,R01ZF_REUSED_R01ZF_PERSON002,R01ZF_SARF000000__Q095__R0001,1,757,757,1.0,-36.84493637084961,-24.059316635131836,5.044940431192232,5.976087317790256,True,GT_BLIND_GEOMETRIC_INTERSECTION_NOT_IDENTITY_OR_FINAL_LOCALIZATION
